Here are some great quotes for you to read: 

Quote on |Thu, 20 Jun 2024 16:52:36 GMT| :  I want you to be everything that's you, deep at the center of your being. - Confucius
Quote on |Thu, 20 Jun 2024 17:06:29 GMT| :  An ant on the move does more than a dozing ox - Laozi
Quote on |Thu, 20 Jun 2024 17:23:23 GMT| :  When written in Chinese, the word 'crisis' is composed of two characters. One represents danger and the other represents opportunity. - John F. Kennedy
Quote on |Thu, 20 Jun 2024 17:32:26 GMT| :  If you break your neck, if you have nothing to eat, if your house is on fire, then you got a problem. Everything else is inconvenience. - Robert Fulghum
Quote on |Thu, 20 Jun 2024 17:41:14 GMT| :  The only way to make sense out of change is to plunge into it, move with it, and join the dance. - Alan Watts
Quote on |Thu, 20 Jun 2024 17:50:03 GMT| :  The more you like yourself, the less you are like anyone else, which makes you unique. - Walt Disney
Quote on |Thu, 20 Jun 2024 17:59:07 GMT| :  The time to repair the roof is when the sun is shining. - John F. Kennedy
Quote on |Thu, 20 Jun 2024 18:26:26 GMT| :  Let yourself be silently drawn by the stronger pull of what you really love. - Rumi
Quote on |Thu, 20 Jun 2024 18:37:59 GMT| :  To invent, you need a good imagination and a pile of junk. - Thomas Edison
Quote on |Thu, 20 Jun 2024 18:46:45 GMT| :  Imagination allows us to escape the predictable. It enables us to reply to the common wisdom that we cannot soar by saying, 'Just watch!' - Bill Bradley
Quote on |Thu, 20 Jun 2024 18:55:47 GMT| :  The best way to predict your future is to create it. - Peter Drucker
Quote on |Thu, 20 Jun 2024 19:11:10 GMT| :  Where is the Life we have lost in living? Where is the wisdom we have lost in knowledge? Where is the knowledge we have lost in information? - George Eliot
Quote on |Thu, 20 Jun 2024 19:20:37 GMT| :  It all depends on how we look at things, and not how they are in themselves. - Carl Jung
Quote on |Thu, 20 Jun 2024 19:29:21 GMT| :  The farther backward you can look, the farther forward you can see. - Winston Churchill
Quote on |Thu, 20 Jun 2024 19:38:27 GMT| :  We can do no great things, only small things with great love. - Mother Teresa
Quote on |Thu, 20 Jun 2024 19:47:32 GMT| :  Almost everything comes from nothing. - Henri-Frédéric Amiel
Quote on |Thu, 20 Jun 2024 19:56:23 GMT| :  All our talents increase in the using, and every faculty, both good and bad, strengthen by exercise. - Anne Brontë
Quote on |Thu, 20 Jun 2024 20:14:42 GMT| :  The least movement is of importance to all nature. The entire ocean is affected by a pebble. - Blaise Pascal
